Date,Open,High,Low,Close,Adj Close,Volume
2020-06-05,16987.441406,17126.113281,16779.431641,16952.773438,16952.773438,7970260
2020-06-08,17230.119141,17472.796875,17056.777344,17264.787109,17264.787109,10181477
2020-06-09,17334.123047,17334.123047,16779.431641,16779.431641,16779.431641,9666453
2020-06-10,16779.431641,17334.123047,16710.095703,17091.445313,17091.445313,11896130
2020-06-11,17126.113281,17195.451172,15912.725586,15912.725586,15912.725586,13351929
2020-06-12,15323.365234,16155.403320,15323.365234,16155.403320,16155.403320,10231696
2020-06-15,16086.066406,16294.076172,15323.365234,15462.038086,15462.038086,11435794
2020-06-16,15947.393555,16120.734375,15739.383789,16120.734375,16120.734375,5952794
2020-06-17,15947.393555,16120.734375,15878.056641,15947.393555,15947.393555,3561067
2020-06-18,15739.383789,16086.066406,15739.383789,15878.056641,15878.056641,2818443
2020-06-19,16051.398438,16224.739258,15912.725586,16190.071289,16190.071289,4266511
2020-06-22,16155.403320,16432.748047,16120.734375,16259.408203,16259.408203,4307644
2020-06-23,16224.739258,16328.744141,15982.061523,16120.734375,16120.734375,4177828
2020-06-24,16224.739258,16328.744141,15739.383789,15808.720703,15808.720703,4406610
